"date","reported","nowcast","nowcast_lwr","nowcast_upr"
2021-03-13,34,155,115,210
2021-03-12,73,164,133,207
2021-03-11,122,186,162,219
2021-03-10,117,159,141,182
2021-03-09,133,160,147,176
2021-03-08,145,163,153,175
2021-03-07,123,136,128,146
2021-03-06,111,120,114,128
2021-03-05,121,128,123,135
2021-03-04,116,121,117,127
2021-03-03,133,137,133,142
2021-03-02,130,133,130,137
2021-03-01,138,140,138,144
2021-02-28,118,120,118,123
2021-02-27,93,94,93,97
2021-02-26,95,96,95,99
2021-02-25,97,97,97,100
2021-02-24,90,90,90,92
2021-02-23,99,99,99,101
2021-02-22,99,99,99,99
2021-02-21,82,82,82,82
2021-02-20,66,66,66,66
2021-02-19,77,77,77,77
2021-02-18,86,86,86,86
2021-02-17,74,74,74,74
2021-02-16,68,68,68,68
2021-02-15,74,74,74,74
2021-02-14,63,63,63,63
2021-02-13,65,65,65,65
2021-02-12,73,73,73,73
2021-02-11,64,64,64,64
2021-02-10,69,69,69,69
2021-02-09,87,87,87,87
2021-02-08,74,74,74,74
2021-02-07,71,71,71,71
2021-02-06,70,70,70,70
2021-02-05,97,97,97,97
2021-02-04,90,90,90,90
2021-02-03,99,99,99,99
2021-02-02,97,97,97,97
2021-02-01,86,86,86,86
2021-01-31,80,80,80,80
2021-01-30,85,85,85,85
2021-01-29,98,98,98,98
2021-01-28,131,131,131,131
2021-01-27,125,125,125,125
2021-01-26,124,124,124,124
2021-01-25,132,132,132,132
2021-01-24,128,128,128,128
2021-01-23,101,101,101,101
2021-01-22,120,120,120,120
2021-01-21,123,123,123,123
2021-01-20,168,168,168,168
2021-01-19,168,168,168,168
2021-01-18,188,188,188,188
2021-01-17,168,168,168,168
2021-01-16,168,168,168,168
2021-01-15,174,174,174,174
2021-01-14,189,189,189,189
2021-01-13,232,232,232,232
2021-01-12,259,259,259,259
2021-01-11,252,252,252,252
2021-01-10,238,238,238,238
2021-01-09,239,239,239,239
2021-01-08,288,288,288,288
2021-01-07,320,320,320,320
2021-01-06,338,338,338,338
2021-01-05,370,370,370,370
2021-01-04,339,339,339,339
2021-01-03,306,306,306,306
2021-01-02,313,313,313,313
2021-01-01,291,291,291,291
2020-12-31,280,280,280,280
2020-12-30,301,301,301,301
2020-12-29,371,371,371,371
2020-12-28,416,416,416,416
2020-12-27,353,353,353,353
2020-12-26,319,319,319,319
2020-12-25,333,333,333,333
2020-12-24,293,293,293,293
2020-12-23,342,342,342,342
2020-12-22,347,347,347,347
2020-12-21,361,361,361,361
2020-12-20,341,341,341,341
2020-12-19,361,361,361,361
2020-12-18,458,458,458,458
2020-12-17,468,468,468,468
2020-12-16,513,513,513,513
2020-12-15,578,578,578,578
2020-12-14,598,598,598,598
2020-12-13,561,561,561,561
2020-12-12,553,553,553,553
2020-12-11,537,537,537,537
2020-12-10,499,499,499,499
2020-12-09,495,495,495,495
2020-12-08,505,505,505,505
2020-12-07,540,540,540,540
2020-12-06,482,482,482,482
2020-12-05,485,485,485,485
2020-12-04,451,451,451,451
2020-12-03,479,479,479,479
2020-12-02,459,459,459,459
2020-12-01,485,485,485,485
2020-11-30,483,483,483,483
2020-11-29,424,424,424,424
2020-11-28,400,400,400,400
2020-11-27,397,397,397,397
2020-11-26,440,440,440,440
2020-11-25,445,445,445,445
2020-11-24,440,440,440,440
2020-11-23,435,435,435,435
2020-11-22,428,428,428,428
2020-11-21,369,369,369,369
2020-11-20,425,425,425,425
2020-11-19,451,451,451,451
2020-11-18,483,483,483,483
2020-11-17,457,457,457,457
2020-11-16,476,476,476,476
2020-11-15,364,364,364,364
2020-11-14,367,367,367,367
2020-11-13,414,414,414,414
2020-11-12,422,422,422,422
2020-11-11,447,447,447,447
2020-11-10,433,433,433,433
2020-11-09,412,412,412,412
2020-11-08,408,408,408,408
2020-11-07,395,395,395,395
2020-11-06,492,492,492,492
2020-11-05,497,497,497,497
2020-11-04,450,450,450,450
2020-11-03,458,458,458,458
2020-11-02,486,486,486,486
2020-11-01,389,389,389,389
2020-10-31,364,364,364,364
2020-10-30,386,386,386,386
2020-10-29,353,353,353,353
2020-10-28,374,374,374,374
2020-10-27,339,339,339,339
2020-10-26,372,372,372,372
2020-10-25,320,320,320,320
2020-10-24,334,334,334,334
2020-10-23,312,312,312,312
2020-10-22,278,278,278,278
2020-10-21,311,311,311,311
2020-10-20,289,289,289,289
2020-10-19,287,287,287,287
2020-10-18,236,236,236,236
2020-10-17,257,257,257,257
2020-10-16,212,212,212,212
2020-10-15,209,209,209,209
2020-10-14,228,228,228,228
2020-10-13,208,208,208,208
2020-10-12,188,188,188,188
2020-10-11,172,172,172,172
2020-10-10,148,148,148,148
2020-10-09,138,138,138,138
2020-10-08,131,131,131,131
2020-10-07,133,133,133,133
2020-10-06,125,125,125,125
2020-10-05,115,115,115,115
2020-10-04,111,111,111,111
2020-10-03,93,93,93,93
2020-10-02,101,101,101,101
2020-10-01,87,87,87,87
2020-09-30,91,91,91,91
2020-09-29,78,78,78,78
2020-09-28,94,94,94,94
2020-09-27,68,68,68,68
2020-09-26,77,77,77,77
2020-09-25,62,62,62,62
2020-09-24,93,93,93,93
2020-09-23,81,81,81,81
2020-09-22,70,70,70,70
2020-09-21,83,83,83,83
2020-09-20,84,84,84,84
2020-09-19,65,65,65,65
2020-09-18,78,78,78,78
2020-09-17,99,99,99,99
2020-09-16,108,108,108,108
2020-09-15,113,113,113,113
2020-09-14,140,140,140,140
2020-09-13,115,115,115,115
2020-09-12,84,84,84,84
2020-09-11,116,116,116,116
2020-09-10,98,98,98,98
2020-09-09,85,85,85,85
2020-09-08,113,113,113,113
2020-09-07,105,105,105,105
2020-09-06,71,71,71,71
2020-09-05,83,83,83,83
2020-09-04,105,105,105,105
2020-09-03,78,78,78,78
2020-09-02,72,72,72,72
2020-09-01,95,95,95,95
2020-08-31,94,94,94,94
2020-08-30,79,79,79,79
2020-08-29,66,66,66,66
2020-08-28,72,72,72,72
2020-08-27,65,65,65,65
2020-08-26,82,82,82,82
2020-08-25,82,82,82,82
2020-08-24,86,86,86,86
2020-08-23,83,83,83,83
2020-08-22,67,67,67,67
2020-08-21,77,77,77,77
2020-08-20,59,59,59,59
2020-08-19,68,68,68,68
2020-08-18,76,76,76,76
2020-08-17,68,68,68,68
2020-08-16,71,71,71,71
2020-08-15,59,59,59,59
2020-08-14,74,74,74,74
2020-08-13,63,63,63,63
2020-08-12,71,71,71,71
2020-08-11,63,63,63,63
2020-08-10,66,66,66,66
2020-08-09,54,54,54,54
2020-08-08,39,39,39,39
2020-08-07,37,37,37,37
2020-08-06,27,27,27,27
2020-08-05,36,36,36,36
2020-08-04,26,26,26,26
2020-08-03,37,37,37,37
2020-08-02,15,15,15,15
2020-08-01,19,19,19,19
2020-07-31,18,18,18,18
2020-07-30,21,21,21,21
2020-07-29,17,17,17,17
2020-07-28,23,23,23,23
2020-07-27,15,15,15,15
2020-07-26,16,16,16,16
2020-07-25,14,14,14,14
2020-07-24,14,14,14,14
2020-07-23,10,10,10,10
2020-07-22,16,16,16,16
2020-07-21,13,13,13,13
2020-07-20,12,12,12,12
2020-07-19,14,14,14,14
2020-07-18,18,18,18,18
2020-07-17,18,18,18,18
2020-07-16,14,14,14,14
2020-07-15,25,25,25,25
2020-07-14,14,14,14,14
2020-07-13,21,21,21,21
2020-07-12,18,18,18,18
2020-07-11,10,10,10,10
2020-07-10,11,11,11,11
2020-07-09,11,11,11,11
2020-07-08,12,12,12,12
2020-07-07,20,20,20,20
2020-07-06,13,13,13,13
2020-07-05,13,13,13,13
2020-07-04,10,10,10,10
2020-07-03,21,21,21,21
2020-07-02,16,16,16,16
2020-07-01,19,19,19,19
2020-06-30,24,24,24,24
2020-06-29,16,16,16,16
2020-06-28,16,16,16,16
2020-06-27,17,17,17,17
2020-06-26,25,25,25,25
2020-06-25,16,16,16,16
2020-06-24,22,22,22,22
2020-06-23,14,14,14,14
2020-06-22,11,11,11,11
2020-06-21,12,12,12,12
2020-06-20,21,21,21,21
2020-06-19,13,13,13,13
2020-06-18,11,11,11,11
2020-06-17,15,15,15,15
2020-06-16,12,12,12,12
2020-06-15,7,7,7,7
2020-06-14,6,6,6,6
2020-06-13,10,10,10,10
2020-06-12,14,14,14,14
2020-06-11,16,16,16,16
2020-06-10,10,10,10,10
2020-06-09,4,4,4,4
2020-06-08,14,14,14,14
2020-06-07,8,8,8,8
2020-06-06,7,7,7,7
2020-06-05,11,11,11,11
2020-06-04,11,11,11,11
2020-06-03,9,9,9,9
2020-06-02,14,14,14,14
2020-06-01,11,11,11,11
2020-05-31,9,9,9,9
2020-05-30,4,4,4,4
2020-05-29,6,6,6,6
2020-05-28,14,14,14,14
2020-05-27,7,7,7,7
2020-05-26,18,18,18,18
2020-05-25,14,14,14,14
2020-05-24,17,17,17,17
2020-05-23,11,11,11,11
2020-05-22,17,17,17,17
2020-05-21,12,12,12,12
2020-05-20,16,16,16,16
2020-05-19,18,18,18,18
2020-05-18,25,25,25,25
2020-05-17,16,16,16,16
2020-05-16,13,13,13,13
2020-05-15,15,15,15,15
2020-05-14,10,10,10,10
2020-05-13,16,16,16,16
2020-05-12,13,13,13,13
2020-05-11,19,19,19,19
2020-05-10,22,22,22,22
2020-05-09,22,22,22,22
2020-05-08,20,20,20,20
2020-05-07,42,42,42,42
2020-05-06,23,23,23,23
2020-05-05,32,32,32,32
2020-05-04,25,25,25,25
2020-05-03,27,27,27,27
2020-05-02,32,32,32,32
2020-05-01,40,40,40,40
2020-04-30,31,31,31,31
2020-04-29,27,27,27,27
2020-04-28,36,36,36,36
2020-04-27,43,43,43,43
2020-04-26,30,30,30,30
2020-04-25,39,39,39,39
2020-04-24,43,43,43,43
2020-04-23,50,50,50,50
2020-04-22,42,42,42,42
2020-04-21,37,37,37,37
2020-04-20,49,49,49,49
2020-04-19,36,36,36,36
2020-04-18,52,52,52,52
2020-04-17,42,42,42,42
2020-04-16,54,54,54,54
2020-04-15,47,47,47,47
2020-04-14,58,58,58,58
2020-04-13,74,74,74,74
2020-04-12,68,68,68,68
2020-04-11,65,65,65,65
2020-04-10,56,56,56,56
2020-04-09,77,77,77,77
2020-04-08,69,69,69,69
2020-04-07,73,73,73,73
2020-04-06,89,89,89,89
2020-04-05,97,97,97,97
2020-04-04,91,91,91,91
2020-04-03,103,103,103,103
2020-04-02,116,116,116,116
2020-04-01,127,127,127,127
2020-03-31,112,112,112,112
2020-03-30,132,132,132,132
2020-03-29,116,116,116,116
2020-03-28,153,153,153,153
2020-03-27,165,165,165,165
2020-03-26,125,125,125,125
2020-03-25,176,176,176,176
2020-03-24,133,133,133,133
2020-03-23,176,176,176,176
2020-03-22,146,146,146,146
2020-03-21,141,141,141,141
2020-03-20,189,189,189,189
2020-03-19,179,179,179,179
2020-03-18,213,213,213,213
2020-03-17,211,211,211,211
2020-03-16,238,238,238,238
2020-03-15,210,210,210,210
2020-03-14,171,171,171,171
2020-03-13,180,180,180,180
2020-03-12,162,162,162,162
2020-03-11,120,120,120,120
2020-03-10,103,103,103,103
2020-03-09,102,102,102,102
2020-03-08,64,64,64,64
2020-03-07,59,59,59,59
2020-03-06,56,56,56,56
2020-03-05,35,35,35,35
2020-03-04,41,41,41,41
2020-03-03,37,37,37,37
2020-03-02,30,30,30,30
2020-03-01,27,27,27,27
2020-02-29,19,19,19,19
2020-02-28,10,10,10,10
2020-02-27,14,14,14,14
2020-02-26,16,16,16,16
2020-02-25,11,11,11,11
2020-02-24,11,11,11,11
